Year,"Lines added",Author,"Commit count","Author and year"
2011,340,"Fabien Potencier",22,"Fabien Potencier-2011"
2012,3853,"Fabien Potencier",25,"Fabien Potencier-2012"
2013,158,"Fabien Potencier",22,"Fabien Potencier-2013"
2016,1383,"Christian Flothmann",41,"Christian Flothmann-2016"
2017,1991,"Christian Flothmann",45,"Christian Flothmann-2017"
